22925 39825
1 1 0
10 1 20
1094 1 40
111 1 60
1111 1 80
11after 1 100
12dure 1 120
13 1 140
136 1 160
13counsel 1 180
141997 1 200
14in 1 220
15to 1 240
16 1 260
16the 1 280
17both 1 300
18 1 320
1841 1 340
18the 1 360
1952 1 380
1970 1 400
1990 1 420
1992 1 440
1994 1 460
1995 1 480
1996 1 500
1997 1 520
19the 1 540
2 1 560
20at 1 580
21 1 600
22in 1 620
23 1 640
23in 1 660
240 1 680
2462 1 700
24thi 1 720
254 1 740
25from 1 760
26in 1 780
272 1 800
27in 1 820
28 1 840
2867z 1 860
29 1 880
382 1 900
386 1 920
392 1 940
3the 1 960
4 1 980
40 1 1000
414 1 1020
4328 1 1040
5 1 1060
523 1 1080
540 1 1100
6 1 1120
68 1 1140
6from 1 1160
7 1 1180
7the 1 1200
8 1 1220
856 1 1240
860 1 1260
862 1 1280
8i 1 1300
9in 1 1320
a 1 1340
abdic 1 1360
abort 1 1380
about 1 1400
absenc 1 1420
accordingli 1 1440
account 1 1460
achiev 1 1480
act 1 1500
action 1 1520
actual 1 1540
ad 1 1560
addit 1 1580
adduc 1 1600
adjourn 1 1620
adjud 1 1640
adjudg 1 1660
admit 1 1680
advanc 1 1700
advoc 1 1720
affect 1 1740
afoot 1 1760
after 1 1780
again 1 1800
against 1 1820
aggriev 1 1840
agre 1 1860
agreement 1 1880
all 1 1900
alleg 1 1920
allow 1 1940
also 1 1960
altern 1 1980
although 1 2000
an 1 2020
analysi 1 2040
ancillari 1 2060
and 1 2080
ani 1 2100
annul 1 2120
anor 1 2140
anoth 1 2160
apart 1 2180
appeal 1 2200
appear 1 2220
appli 1 2240
applic 1 2260
approach 1 2280
appropri 1 2300
approv 1 2320
april 1 2340
are 1 2360
area 1 2380
argu 1 2400
argument 1 2420
aris 1 2440
arisen 1 2460
as 1 2480
ascertain 1 2500
ask 1 2520
assert 1 2540
assum 1 2560
at 1 2580
attempt 1 2600
attent 1 2620
august 1 2640
author 1 2660
authoris 1 2680
avenu 1 2700
bag 1 2720
bankrupt 1 2740
bankruptci 1 2760
bare 1 2780
base 1 2800
basi 1 2820
be 1 2840
becam 1 2860
becaus 1 2880
been 1 2900
befor 1 2920
below 1 2940
benefici 1 2960
benefit 1 2980
bequeath 1 3000
between 1 3020
bhd 1 3040
bind 1 3060
blk 1 3080
bond 1 3100
both 1 3120
brought 1 3140
but 1 3160
buy 1 3180
by 1 3200
call 1 3220
can 1 3240
canvass 1 3260
cap 1 3280
capac 1 3300
car 1 3320
card 1 3340
care 1 3360
case 1 3380
cash 1 3400
categori 1 3420
cathi 1 3440
caus 1 3460
centr 1 3480
charg 1 3500
cheng 1 3520
chequ 1 3540
chines 1 3560
chong 1 3580
choo 1 3600
circumst 1 3620
cite 1 3640
civil 1 3660
cj 1 3680
claim 1 3700
claimant 1 3720
clear 1 3740
close 1 3760
code 1 3780
commenc 1 3800
comment 1 3820
commiss 1 3840
compani 1 3860
compar 1 3880
compet 1 3900
complaint 1 3920
complet 1 3940
complex 1 3960
complic 1 3980
concept 1 4000
concern 1 4020
conclud 1 4040
conclus 1 4060
conduct 1 4080
confirm 1 4100
conflict 1 4120
confus 1 4140
connect 1 4160
consequ 1 4180
consid 1 4200
consider 1 4220
constrain 1 4240
contend 1 4260
contest 1 4280
context 1 4300
contradict 1 4320
contrari 1 4340
control 1 4360
conven 1 4380
convers 1 4400
coram 1 4420
correct 1 4440
correctli 1 4460
could 1 4480
counsel 1 4500
cours 1 4520
court 1 4540
cpc 1 4560
cr 1 4580
creat 1 4600
crimin 1 4620
crossexamin 1 4640
custodi 1 4660
cwn 1 4680
da 1 4700
date 1 4720
day 1 4740
deal 1 4760
dealt 1 4780
death 1 4800
deceas 1 4820
decemb 1 4840
decid 1 4860
decis 1 4880
declar 1 4900
delin 1 4920
deliv 1 4940
deliveri 1 4960
depart 1 4980
derrick 1 5000
desai 1 5020
did 1 5040
die 1 5060
differ 1 5080
disallow 1 5100
disclosur 1 5120
discov 1 5140
discoveri 1 5160
discret 1 5180
discuss 1 5200
dismiss 1 5220
dispos 1 5240
disput 1 5260
distribut 1 5280
district 1 5300
do 1 5320
document 1 5340
doe 1 5360
dormant 1 5380
doubt 1 5400
draft 1 5420
drive 1 5440
dss 1 5460
durat 1 5480
dure 1 5500
each 1 5520
earlier 1 5540
effect 1 5560
either 1 5580
elia 1 5600
emphasi 1 5620
end 1 5640
eng 1 5660
enquir 1 5680
enquiri 1 5700
ensu 1 5720
entitl 1 5740
er 1 5760
error 1 5780
estat 1 5800
even 1 5820
event 1 5840
evid 1 5860
exampl 1 5880
exclud 1 5900
executor 1 5920
exercis 1 5940
exhibit 1 5960
exist 1 5980
expediti 1 6000
expert 1 6020
expir 1 6040
explain 1 6060
express 1 6080
extract 1 6100
f 1 6120
fact 1 6140
failur 1 6160
fashion 1 6180
fault 1 6200
favour 1 6220
februari 1 6240
fee 1 6260
file 1 6280
financ 1 6300
financi 1 6320
find 1 6340
finish 1 6360
first 1 6380
fit 1 6400
follow 1 6420
fong 1 6440
foot 1 6460
for 1 6480
forc 1 6500
forg 1 6520
forgeri 1 6540
form 1 6560
former 1 6580
forthwith 1 6600
fortun 1 6620
forum 1 6640
found 1 6660
four 1 6680
fraudul 1 6700
from 1 6720
fund 1 6740
fundament 1 6760
furnish 1 6780
further 1 6800
gave 1 6820
get 1 6840
gift 1 6860
give 1 6880
given 1 6900
gj 1 6920
golden 1 6940
ground 1 6960
ha 1 6980
had 1 7000
hand 1 7020
handicap 1 7040
handwrit 1 7060
harri 1 7080
have 1 7100
he 1 7120
hear 1 7140
hearsay 1 7160
heavi 1 7180
held 1 7200
her 1 7220
hi 1 7240
high 1 7260
highlight 1 7280
him 1 7300
himself 1 7320
hing 1 7340
hirepurchas 1 7360
ho 1 7380
hold 1 7400
holder 1 7420
hors 1 7440
hospit 1 7460
how 1 7480
howev 1 7500
husband 1 7520
husbandwif 1 7540
i 1 7560
ident 1 7580
if 1 7600
ignor 1 7620
ill 1 7640
imit 1 7660
immedi 1 7680
in 1 7700
inabl 1 7720
inadequaci 1 7740
inappropri 1 7760
inconsist 1 7780
inde 1 7800
index 1 7820
indian 1 7840
inexpens 1 7860
inform 1 7880
initi 1 7900
inquiri 1 7920
insofar 1 7940
inspect 1 7960
instanc 1 7980
instruct 1 8000
instrument 1 8020
insuffici 1 8040
intend 1 8060
intent 1 8080
interest 1 8100
investig 1 8120
involv 1 8140
irrelev 1 8160
is 1 8180
issu 1 8200
it 1 8220
ital 1 8240
item 1 8260
itself 1 8280
j 1 8300
januari 1 8320
jean 1 8340
jee 1 8360
jeffrey 1 8380
judg 1 8400
judgment 1 8420
juli 1 8440
june 1 8460
jupit 1 8480
jurisdict 1 8500
justic 1 8520
justifi 1 8540
kau 1 8560
key 1 8580
khalawan 1 8600
khim 1 8620
knowledg 1 8640
kok 1 8660
kong 1 8680
lack 1 8700
lacuna 1 8720
laid 1 8740
lastli 1 8760
late 1 8780
later 1 8800
law 1 8820
lead 1 8840
leas 1 8860
leav 1 8880
led 1 8900
lee 1 8920
legal 1 8940
letter 1 8960
licenc 1 8980
license 1 9000
lim 1 9020
limit 1 9040
lj 1 9060
loan 1 9080
local 1 9100
lodg 1 9120
logbook 1 9140
longer 1 9160
look 1 9180
loophol 1 9200
ltd 1 9220
lunch 1 9240
made 1 9260
magistr 1 9280
magnum 1 9300
main 1 9320
make 1 9340
maker 1 9360
malaysian 1 9380
mani 1 9400
manner 1 9420
march 1 9440
marri 1 9460
marriag 1 9480
matter 1 9500
may 1 9520
me 1 9540
mean 1 9560
meanwhil 1 9580
melvil 1 9600
mention 1 9620
mere 1 9640
method 1 9660
mind 1 9680
misplac 1 9700
miss 1 9720
mlj 1 9740
month 1 9760
moot 1 9780
more 1 9800
moreov 1 9820
mortgag 1 9840
most 1 9860
mother 1 9880
much 1 9900
muscl 1 9920
must 1 9940
my 1 9960
name 1 9980
natur 1 10000
necessari 1 10020
nevertheless 1 10040
nissan 1 10060
no 1 10080
none 1 10100
nor 1 10120
not 1 10140
note 1 10160
noth 1 10180
notwithstand 1 10200
now 1 10220
number 1 10240
object 1 10260
observ 1 10280
obtain 1 10300
obviou 1 10320
occas 1 10340
octob 1 10360
of 1 10380
offenc 1 10400
offic 1 10420
old 1 10440
omiss 1 10460
on 1 10480
onc 1 10500
one 1 10520
ong 1 10540
onli 1 10560
onu 1 10580
open 1 10600
opinion 1 10620
or 1 10640
order 1 10660
orderli 1 10680
other 1 10700
ought 1 10720
out 1 10740
outstand 1 10760
owe 1 10780
own 1 10800
owner 1 10820
ownership 1 10840
p 1 10860
page 1 10880
paid 1 10900
palaniappan 1 10920
para 1 10940
paragraph 1 10960
park 1 10980
part 1 11000
parti 1 11020
particularli 1 11040
partner 1 11060
pass 1 11080
pawnshop 1 11100
payment 1 11120
peculiar 1 11140
peh 1 11160
pend 1 11180
perimet 1 11200
period 1 11220
person 1 11240
persuad 1 11260
pertin 1 11280
perus 1 11300
petit 1 11320
petition 1 11340
ph 1 11360
philip 1 11380
pickup 1 11400
place 1 11420
plain 1 11440
plainli 1 11460
plural 1 11480
point 1 11500
polic 1 11520
poor 1 11540
